date,State- District,Country Code,Zon,income_median,expenditure_mean,gini,poverty
"Saturday, January 1, 2022",Sabah-Nabawan,SBH,MalaysiaTimur,4110,3228,0.31094,27.1
"Saturday, January 1, 2022",Sabah-Keningau,SBH,MalaysiaTimur,4502,3478,0.35953,18.8
"Saturday, January 1, 2022",Sabah-Tambunan,SBH,MalaysiaTimur,4055,3278,0.3373,9
"Saturday, January 1, 2022",Sabah-Kunak,SBH,MalaysiaTimur,4480,2755,0.35178,25.4
"Saturday, January 1, 2022",Sabah-Tongod,SBH,MalaysiaTimur,2856,2445,0.34681,50.8
"Saturday, January 1, 2022",Sabah-Putatan,SBH,MalaysiaTimur,5699,4047,0.35061,12.9
"Saturday, January 1, 2022",Sabah-Telupid,SBH,MalaysiaTimur,3953,2538,0.32068,20.8
"Saturday, January 1, 2022",Sabah-Kalabakan,,MalaysiaTimur,3931,2019,0.36775,33.3
"Saturday, January 1, 2022",Sarawak-Kuching,SWRK,MalaysiaTimur,5968,4687,0.37551,9.1
"Saturday, January 1, 2022",Sarawak-Bau,SWRK,MalaysiaTimur,4735,3581,0.36026,8.3
"Saturday, January 1, 2022",Sarawak-Lundu,SWRK,MalaysiaTimur,3692,3161,0.35239,13.1
"Saturday, January 1, 2022",Sarawak-Samarahan,SWRK,MalaysiaTimur,5953,4475,0.32422,7.9
"Saturday, January 1, 2022",Sarawak-Serian,SWRK,MalaysiaTimur,4074,3515,0.34489,14.6
"Saturday, January 1, 2022",Sarawak-Simunjan,SWRK,MalaysiaTimur,3196,2874,0.31353,17.9
"Saturday, January 1, 2022",Sarawak-Sri Aman,,MalaysiaTimur,3704,3071,0.39516,8.9
"Saturday, January 1, 2022",Sarawak-Lubok Antu,SWRK,MalaysiaTimur,3548,3178,0.35162,14.8
"Saturday, January 1, 2022",Sarawak-Betong,SWRK,MalaysiaTimur,3685,2849,0.30527,9.8
"Saturday, January 1, 2022",Sarawak-Saratok,SWRK,MalaysiaTimur,3763,2974,0.28976,7.4
"Saturday, January 1, 2022",Sarawak-Sarikei,,MalaysiaTimur,3528,3078,0.44869,20.9
"Saturday, January 1, 2022",Sarawak-Maradong,SWRK,MalaysiaTimur,3259,2674,0.36177,19.5
"Saturday, January 1, 2022",Sarawak-Daro,SWRK,MalaysiaTimur,3373,2997,0.38918,32.5
"Saturday, January 1, 2022",Sarawak-Julau,SWRK,MalaysiaTimur,2652,2842,0.37387,31.2
"Saturday, January 1, 2022",Sarawak-Sibu,SWRK,MalaysiaTimur,5248,4366,0.37413,10.2
"Saturday, January 1, 2022",Sarawak-Dalat,SWRK,MalaysiaTimur,4057,3044,0.31471,11.1
"Saturday, January 1, 2022",Sarawak-Mukah,SWRK,MalaysiaTimur,4623,3615,0.38637,14
"Saturday, January 1, 2022",Sarawak-Kanowit,SWRK,MalaysiaTimur,2648,2940,0.38573,24.9
"Saturday, January 1, 2022",Sarawak-Bintulu,SWRK,MalaysiaTimur,8567,4990,0.31769,3.5
"Saturday, January 1, 2022",Sarawak-Tatau,SWRK,MalaysiaTimur,4787,3066,0.30337,5.9
"Saturday, January 1, 2022",Sarawak-Kapit,SWRK,MalaysiaTimur,2902,3315,0.36644,20.6
